Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,:,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,:,Temperature indikator tanpa sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,:,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,,,,,,,,,,,,,,,,,,
,,,Temperature Calibrator,,,,,Constant,,,,40T,,,,99875850,,,,,,,,,,,,,,,,,,,,
,,,Temperature Calibrator,,,,,Yokogawa,,,,CA 150 Handy Cal,,,,23P1005,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Temperature Recorder Controller,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,0-1200,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STD Meter Kalibrator :,,Yokogawa,,Type :,,,,,Type S,,,,,,max,1200,,,,,,,,,,,,,,,,,,,
,Components,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Baku Temperature Kalibrator,,Yokogawa,,,,, oC,,normal,,,,0.56,,2,,200,,0.28,,,1,,0.28,,,0.07840000000000001,,,,3.0732800000000005e-05,,,,
,Ketidakpastian Baku Drift Temp. Kalibrator,,Yokogawa,,,,, oC,,rect.,,,0.05600000000000001,,,1.7320508075688772,,50,,0.03233161507461905,,,1,,0.03233161507461905,,,0.0010453333333333337,,,,2.185443555555557e-08,,,,
,Readability,,,,,,, oC,,rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Drift,,,,,,, oC,,rect.,,,0.38,,,1.7320508075688772,,1000001,,0.2193931022920578,,,2,,0.4387862045841156,,,0.19253333333333336,,,,3.706904737539708e-08,,,,
,Pengaruh AC Pick Up,,,,,,, oC,,rect.,,,0.2,,,1.7320508075688772,,200,,0.15196713713031854,,,1,,0.15196713713031854,,,0.02309401076758504,,,,2.6666666666666685e-06,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,, oC,,t-student,,,0.3286335345030965,,,3,,2,,0.18973665961010094,,,1,,0.18973665961010094,,,0.03599999999999931,,,,0.0006479999999999752,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3319060107675844,,,,0.0006814583908440173,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.5761128455151685,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,161.6556512675876,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9747512836610126,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.1376795812146776,,,,,,, oC,
,CMC PT.SIDIK,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,, oC,
,"Ketidakpastian Bentangan Yang Dilaporkan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,, oC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
