,,,,,,,,,,,,,,,,,,
,,,,,Nama Alat,:,Thermocouple ,,,,,,Tanggal Kalibrasi ,,:,2021-08-24T00:00:00,,
,,,,,Type,:,Type N,,,,,,Due Date Kalibrasi,,:,2023-08-24T00:00:00,,
,,,,,S/N,:,"TCN-01,02",,,,,,Tertelusur,,:,LK-064-IDN,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Titik Kalibrasi,,Correction (oC),,,,,,,,,,,
Tikal,TC3,TC4,AVERAGE,,oC,,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,,
-20,3.42,3.86,3.6399999999999997,,-20,,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,,
0,3.16,3.59,3.375,,0,,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,,
25,2.15,2.68,2.415,,25,,2.415,2.415,2.415,2.415,2.415,2.415,2.415,2.415,2.415,2.415,,
50,2.04,2.66,2.35,,50,,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,,
100,1.16,1.99,1.575,,100,,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,,
150,0.54,1.56,1.05,,150,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,,
200,0.16,1.39,0.7749999999999999,,200,,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,,
300,0.16,1.79,0.975,,300,,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,,
400,1.16,3.19,2.175,,400,,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,,
500,-0.66,2.52,0.9299999999999999,,500,,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,,
600,-0.24,4.22,1.9899999999999998,,600,,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,,
700,0.16,5.44,2.8000000000000003,,700,,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,,
800,0.72,6.88,3.8,,800,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,,
900,0.62,8.56,4.59,,900,,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,,
1000,-0.62,8.68,4.03,,1000,,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,,
U95%,2.01,2.1,2.9069055712217415,,U95% ± (oC),,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
