,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Suhu,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,Thermocouple,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Suhu_Thermocouple,2022-07-12T00:00:00,"- Creating All Sheets
",HN,,NR,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-12T00:00:00,Date:,2022-07-19T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Suhu_Thermocouple,2022-07-19T00:00:00,"- Deleting Drop box No. Thermocouple on ""INPUT DATA"" sheet and changes with automatic IF Equation based on the Set Point.
- Adding ""Inhomogenitas Stabilitas DryBlock"" sheet.
- Adding ""Inhomogenitas"" and ""Stabilitas Dryblock"" to budget list U95%, the data refer to ""Inhomogenitas Stabilitas DryBlock"" sheet.",HN,,NR,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-19T00:00:00,Date:,2022-08-12T00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olah Data_Suhu_Thermocouple,2022-08-12T00:00:00,"-Revisi logic untuk sensor rtd atai type N
- Revisi logic untuk inhomogenitas dan stabilitas dryblock",NR,,NR,,,,Update TC type N & Type K new calibration new equipment,,,,,,,,,,,,
,,,,,Position :,Supervisor,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-20T00:00:00,Date:,2022-07-20T00:00:00,Date:,,,,,,,,,,,,,,
,4,Master Olah Data_Suhu_Thermocouple,2022-08-12T00:00:00,"-Updating new calibration TC type N on ""Standar Kalibrator"" & ""Termocouple Type N"" sheet.",HN,,NR,,,,"Tambahkan dropbox untuk memilih Dryblock A/B
Update sheet Prt PT100",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-08-12T00:00:00,Date:,2022-08-23T00:00:00,Date:,,,,,,,,,,,,,,
,5,Master Olah Data_Suhu_Thermocouple,2022-08-23T00:00:00,"-Adding DropBox Dryblock on ""INPUT DATA"" sheet and updating IF rules on ""Perhitungan U95%"" sheet (stabilitas dan inhomogenitas dryblock) budget uncertainty.
- Updating PT100 calibration value on ""Standar Kalibrator"" sheet, and rules on ""FC Prt PT100"" sheet.",HN,,NR,,,,"Update drift standar kalibrator, budget u95%",,,,,,,,,,,,
