Temp Calibrator : Constant,,,,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,PRT PT100,,Titik Kalibrasi,Thermocouple Type K,,Titik Kalibrasi,Thermocouple Type N,,Titik Kalibrasi,Thermocouple Type B,,Titik Kalibrasi,Thermocouple Type T,,Titik Kalibrasi,Thermocouple Type R,,Titik Kalibrasi,Thermocouple Type S,,,
-20,0.10000000000000142,,-20,0.1999999999999993,,-20,0.10000000000000142,,600,0.10000000000002274,,-100,0.12999999999999545,,0,0.05,,0,0.23,,,
0,0.1,,0,0.1,,0,0.1,,800,0.16999999999995907,,0,0.06,,50,-0.17999999999999972,,50,0.21000000000000085,,,
200,0.09999999999999432,,100,-0.09999999999999432,,100,0.09999999999999432,,1000,0.2999999999999545,,50,0.07000000000000028,,100,-0.15000000000000568,,100,0.18999999999999773,,,
400,0.10000000000002274,,200,-0.09999999999999432,,200,-0.09999999999999432,,1200,0.31999999999993634,,100,0.10999999999999943,,200,-0.12999999999999545,,200,0.30000000000001137,,,
600,0.20000000000004547,,400,-0.10000000000002274,,399.9,-0.20000000000004547,,1400,0.40000000000009095,,200,0.12000000000000455,,400,-0.19999999999998863,,400,0.22000000000002728,,,
800,0.10000000000002274,,600,0,,600,0,,1700,0.5299999999999727,,300,0.12000000000000455,,600,0.19000000000005457,,600,0.19000000000005457,,,
,,,800,0,,800,0.10000000000002274,,700,0.1349999999999909,,400,0.14999999999997726,,800,0.2300000000000182,,800,0.34000000000003183,,,
25,0.0999999999999993,,1000,0.20000000000004547,,1000,0.20000000000004547,,900,0.2349999999999568,,-20,0.0739999999999991,,1000,0.21000000000003638,,1000,0.30999999999994543,,,
50,0.09999999999999859,,,,,,,,,,,25,0.06500000000000014,,1200,0.42000000000007276,,1200,0.35999999999989996,,,
100,0.09999999999999716,,25,0.050000000000001425,,25,0.09999999999999859,,,,,,,,25,-0.06499999999999986,,25,0.22000000000000042,,,
300,0.10000000000000853,,50,2.8449465006019636e-15,,50,0.09999999999999716,,,,,,,,300,-0.16499999999999204,,300,0.2600000000000193,,,
500,0.1500000000000341,,300,-0.10000000000000853,,300,-0.15002501250627304,,,,,,,,500,-0.004999999999967031,,500,0.20500000000004093,,,
700,0.15000000000003416,,500,-0.05000000000001137,,500,-0.09995002498752886,,,,,,,,700,0.21000000000003638,,700,0.2650000000000432,,,
,,,700,0,,700,0.05000000000001137,,,,,,,,900,0.22000000000002728,,900,0.32499999999998863,,,
,,,900,0.10000000000002274,,900,0.1500000000000341,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Temp Calibrator : Victor,,,,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,PRT PT100,,Titik Kalibrasi,Thermocouple Type K,,Titik Kalibrasi,Thermocouple Type N,,Titik Kalibrasi,Thermocouple Type B,,Titik Kalibrasi,Thermocouple Type T,,Titik Kalibrasi,Thermocouple Type R,,Titik Kalibrasi,Thermocouple Type S,,Titik Kalibrasi,Thermocouple Type J
-100,0.010000000000005116,,-20,-0.4800000000000004,,-20,-0.10000000000000142,,600,0.39999999999997726,,-100,-0.18000000000000682,,0,-0.13,,0,0.24,,0,-0.05
0,-0.01,,0,0.25,,0,0.12,,800,0.6000000000000227,,0,-0.13,,50,0.240000000000002,,50,0.46999999999999886,,50,0.14000000000000057
100,-0.01999999999999602,,100,0.1599999999999966,,100,0.12000000000000455,,1000,0.7999999999999545,,50,0.22999999999999687,,100,0.7399999999999949,,100,0.4200000000000017,,100,0.20999999999999375
200,-0.030000000000001137,,200,0.12000000000000455,,200,0.12000000000000455,,1200,1,,100,0.20999999999999375,,200,0.960000000000008,,200,0.7299999999999898,,200,0.18999999999999773
400,-0.05000000000001137,,400,0.2599999999999909,,400,0.18000000000000682,,1400,1.2000000000000455,,200,0.27000000000001023,,400,1.089999999999975,,400,1.009999999999991,,400,0.2699999999999818
600,-0.07000000000005002,,600,0.2300000000000182,,600,0.21000000000003638,,1700,1.400000000000091,,300,0.35000000000002274,,600,1.1900000000000546,,600,1.009999999999991,,600,0.32000000000005
800,-0.10000000000002274,,800,0.25,,800,0.2999999999999545,,700,0.5,,400,0.45999999999997954,,800,1.2300000000000182,,800,1.1000000000000227,,800,0.4199999999999591
-20,-0.005999999999998975,,1000,0.22000000000002728,,1000,0.30999999999994543,,900,0.6999999999999886,,-20,-0.14000000000000137,,1000,1.2899999999999636,,1000,0.9400000000000546,,1000,0.6299999999999955
25,-0.012499999999999007,,1200,0.2400000000000091,,1200,0.38000000000010914,,,,,25,0.049999999999998435,,1200,1.2999999999999545,,1200,1.2100000000000364,,25,0.04500000000000028
50,-0.014999999999998011,,25,0.22749999999999915,,25,0.12000000000000113,,,,,,,,25,0.05500000000000099,,25,0.3549999999999994,,300,0.22999999999998977
300,-0.04000000000000625,,50,0.2049999999999983,,50,0.12000000000000227,,,,,,,,300,1.0249999999999915,,300,0.8699999999999903,,500,0.2950000000000159
500,-0.060000000000030695,,300,0.18999999999999773,,300,0.15000000000000568,,,,,,,,500,1.1400000000000148,,500,1.009999999999991,,700,0.37000000000000455
700,-0.08500000000003638,,500,0.24500000000000455,,500,0.1950000000000216,,,,,,,,700,1.2100000000000364,,700,1.0550000000000068,,900,0.5249999999999773
,,,700,0.2400000000000091,,700,0.25499999999999545,,,,,,,,900,1.259999999999991,,900,1.0200000000000387,,,
,,,900,0.23500000000001364,,900,0.30499999999995,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Temp Calibrator : Yokogawa,,,,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,PRT PT100,,Titik Kalibrasi,Thermocouple Type K,,Titik Kalibrasi,Thermocouple Type N,,,,,,,,,,,,,,,
-100,-0.10000000000000142,,-20,0,,-20,0,,,,,,,,,,,,,,,
0,0.3249999999999979,,0,0,,0,-0.10000000000000142,,,,,,,,,,,,,,,
100,0.4000000000000057,,100,-0.04999999999999716,,100,-0.02499999999999858,,,,,,,,,,,,,,,
200,0.45000000000000284,,200,-0.09999999999999432,,200,-0.09999999999999432,,,,,,,,,,,,,,,
400,0.45000000000000284,,400,-0.14999999999999147,,400,-0.04999999999999716,,,,,,,,,,,,,,,
600,0.5,,600,-0.24999999999997158,,600,-0.14999999999999147,,,,,,,,,,,,,,,
800,#REF!,,800,-0.3499999999999659,,800,-0.29999999999998295,,,,,,,,,,,,,,,
-20,0.239999999999998,,1000,-0.5,,1000,-0.44999999999998863,,,,,,,,,,,,,,,
25,0.3437499999999999,,1200,-0.6000000000000227,,1200,-0.6000000000000227,,,,,,,,,,,,,,,
50,0.3625000000000018,,25,-0.01249999999999929,,25,-0.08125000000000071,,,,,,,,,,,,,,,
300,0.45000000000000284,,50,-0.02499999999999858,,50,-0.0625,,,,,,,,,,,,,,,
500,0.4750000000000014,,300,-0.1249999999999929,,300,-0.07499999999999574,,,,,,,,,,,,,,,
700,#REF!,,500,-0.19999999999998153,,500,-0.09999999999999432,,,,,,,,,,,,,,,
,,,700,-0.29999999999996874,,700,-0.2249999999999872,,,,,,,,,,,,,,,
,,,900,-0.42499999999998295,,900,-0.3749999999999858,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Interpolasi Sensor Termokopel,,,,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,Type K,,,,,,,,,,,,,,,,,,,,,
0,-0.27,,,,,,,,,,,,,,,,,,,,,
50,-0.08,,,,,,,,,,,,,,,,,,,,,
100,0.275,,,,,,,,,,,,,,,,,,,,,
150,0.45499999999999996,,,,,,,,,,,,,,,,,,,,,
200,0.46,,,,,,,,,,,,,,,,,,,,,
300,-0.05500000000000001,,,,,,,,,,,,,,,,,,,,,
400,0,,,,,,,,,,,,,,,,,,,,,
25,-0.17500000000000002,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Interpolasi Sensor Termokopel ,,,,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi ,Type N,,,,,,,,,,,,,,,,,,,,,
-20,-0.15,,,,,,,,,,,,,,,,,,,,,
0,-0.09999999999999999,,,,,,,,,,,,,,,,,,,,,
100,0.16499999999999998,,,,,,,,,,,,,,,,,,,,,
200,0.43,,,,,,,,,,,,,,,,,,,,,
25,-0.03374999999999999,,,,,,,,,,,,,,,,,,,,,
50,0.0325,,,,,,,,,,,,,,,,,,,,,
150,0.2975,,,,,,,,,,,,,,,,,,,,,
