Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,:,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,:,Temperature indikator dengan sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,:,Standard used :,,,,,,,,,,,,,,,,,Alat Bantu :,,,,,,,,,,,,,,,,
,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,
,,,PRT Pt-100,,,,,-,,,,-,,,,SH1/20,,,,Dryblock A,,,,,Isotech,,,,Fast Cal Low,,,,321486-1,,,
,,,Temperature Calibrator,,,,,Constant,,,,40T,,,,99875850,,,,Dryblock B,,,,,Techne,,,,Tecal 700xs,,,,DB-B-2,,,
,,,Temperature Calibrator,,,,,Yokogawa,,,,CA 150 Handy Cal,,,,23P1005,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Thermocouple Thermometer,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,50-150,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STD Meter Kalibrator :,,Yokogawa,,STD Sensor :,,,,,Thermocouple Type K,,,,,,Max. Set Point UUT,,,,150,,oC,,,Dryblock Used :,,,,,A,,,,,,
,Components,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Baku Indikator Standar,,,,,,, oC,,normal,,,,0.24,,2,,200,,0.12,,,1,,0.12,,,0.0144,,,,1.0368e-06,,,,
,Ketidakpastian Sensor,,,,,,, oC,,normal,,,,0.44,,2,,200,,0.22,,,1,,0.22,,,0.0484,,,,1.17128e-05,,,,
,Stabilitas Cold Junction,,,,,,, oC,,normal,,,0.1,,,1.7320508075688772,,200,,0.05773502691896258,,,1,,0.05773502691896258,,,0.003333333333333334,,,,5.5555555555555574e-08,,,,
,Ketidakpastian Drift Indikator Standar,,,,,,, oC,,normal,,,0.024,,,2,,50,,0.012,,,1,,0.012,,,0.000144,,,,4.1472000000000004e-10,,,,
,Ketidakpastian Baku Drift Sensor,,,,,,, oC,,normal,,,0.5,,,2,,50,,0.25,,,1,,0.25,,,0.0625,,,,7.8125e-05,,,,
,AC Pick-up,,,,,,, oC,,rect.,,,0.1,,,1.7320508075688772,,1000000,,0.05773502691896258,,,1,,0.05773502691896258,,,0.003333333333333334,,,,1.1111111111111116e-11,,,,
,Ketidakpastian axial,,,,,,, oC,,rect.,,,0.20000000000004547,,,1.7320508075688772,,8,,0.11547005383795142,,,1,,0.11547005383795142,,,0.013333333333339399,,,,2.222222222224244e-05,,,,
,Ketidakpastian variasi antar Lubang,,,,,,, oC,,rect.,,,0.13,,,1.7320508075688772,,8,,0.07505553499465135,,,1,,0.07505553499465135,,,0.005633333333333334,,,,3.966805555555556e-06,,,,
,Daya Baca Indikator,,,,,,, oC,,rect.,,,0.05,,,1.7320508075688772,,8,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,8.680555555555559e-08,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1519106666666727,,,,0.00011720641472002022,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.3897571893713735,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,196.8906795949552,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9720882643948952,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.7686355791228244,,,,,,, oC,
,CMC PT.SIDIK,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,, oC,
,"Ketidakpastian Bentangan Yang Dilaporkan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,, oC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
