,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,0513-CAL-1124,,,,,,,,,,,,,,,,,
,Page,,,:,1 of 1,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Order Number,,,:,2411.50.I,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,
,Received Date,,,:,2024-12-02T00:00:00,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Thermocouple Thermometer,,,,,,,,,,,,,,,,,
,Manufacturer,,,:,Hanna Instrument,,,,,Calibration Location,,,:,Inlab (PT SIDIK),,,,,,,,
,Model/Type,,,:,HI93530,,,,,Calibration  Date,,,:,2024-12-03T00:00:00,,,,,,,,
,Serial Number,,,:,J0037794,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,
,Capacity/Graduation,,,:,200,oC,/,0.1,oC,Env. Condition,,,:,T ,23.73,oC,±,1.70293863659264,oC,,,
,Technician ID,,,:,AJ,,,,,,,,,%RH,60.67,%,±,5.000999900019996,%,,,
,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Standard Reading (oC),,,,,Unit Under Test (oC),,Correction (oC),,,,,,,,,,,
,,,,49.275,,,,,49.754999999999995,,-0.4799999999999969,,,,,,,,,,,
,,,,99.105,,,,,99.73,,-0.625,,,,,,,,,,,
,,,,148.705,,,,,149.96,,-1.2549999999999955,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Uncertainty  95%  ±,,,,,,,0.84,,oC,,,,,,,,,
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,1.9720882643948952,,,,,,,,
,,,,,,,,,,,,,,,,,,,#REF!,,,
,,,,- Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type,,,Serial Number,,,,,Traceable to SI through,,,,,,
,Temperature Calibrator,,,,,,,Yokogawa,,,23P1005,,,,,LK-202-IDN,,,,,,
,Thermocouple Type K,,,,,,,-/Type K,,,"TC-01,02",,,,,LK-064-IDN,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,
,2024-12-04T00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
