,,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2025-02-14T00:00:00,,,,Link calculator : https://www.fluke.com/en-us/learn/tools-calculators/pt100-calculator?srsltid=AfmBOoqPe_j-N87lgotXxrFrPdjOLAJ5b_2mxDXIuBjJ08XiQ4F74QBR
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15T00:00:00,,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,,
,,,,,,,,,,,,0,
,,,,,,,,,,,,,
Lama:,,Terbaru :,,,,,,,,,,,
,,,,,0.003878,,,A,0.00390954,,,,
A,0.003878,0.00390954,A,,,,,B,-6.70888e-07,,,,
B,-5.861e-07,-6.70888e-07,B,,,,,C,6.32935e-12,,,,
,,,,,,,,,,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C),
0,100.285707,100.285707,1,0,0,1.52845030116e-05,1.52845030116e-05,0.00390954,0,-1.341776e-06,0,0,
5,102.244378,100.285707,1.0195309088263196,-0.019530908826319582,-5.2412209442687566e-08,1.52845030116e-05,1.5232090802157315e-05,0.0039028311265230675,-6.708873476932945e-06,-1.341776e-06,4.999995138482835,4.861517164833629e-06,
10,104.199684,100.285707,1.0390282635191475,-0.039028263519147455,-1.047343746233352e-07,1.52845030116e-05,1.5179768636976666e-05,0.003896122256420692,-1.3417743579308312e-05,-1.341776e-06,9.999987761972426,1.223802757444048e-05,
15,106.151627,100.285707,1.0584920840215046,-0.05849208402150463,-1.569665490600768e-07,1.52845030116e-05,1.5127536462539924e-05,0.0038894133828303624,-2.0126617169637963e-05,-1.341776e-06,14.999982984967657,1.701503234308177e-05,
20,108.100205,100.285707,1.07792235039037,-0.0779223503903701,-2.0910867923477845e-07,1.52845030116e-05,1.5075394332365224e-05,0.003882704512625861,-2.6835487374139537e-05,-1.341776e-06,19.999975684569957,2.4315430042776143e-05,
25,110.04542,100.285707,1.097319082568765,-0.09731908256876509,-2.611608186655747e-07,1.52845030116e-05,1.5023342192934428e-05,0.003875995638920976,-3.3544361079024254e-05,-1.341776e-06,24.999970992940888,2.9007059112018396e-05,
30,111.98727,100.285707,1.1166822606136684,-0.11668226061366838,-3.13122913834331e-07,1.52845030116e-05,1.497138009776567e-05,0.0038692867686132633,-4.0253231386737105e-05,-1.341776e-06,29.99996376946458,3.62305354215664e-05,
35,113.925757,100.285707,1.1360119044681014,-0.1360119044681014,-3.649950182591825e-07,1.52845030116e-05,1.4919507993340819e-05,0.00386257789479265,-4.696210520735043e-05,-1.341776e-06,34.99995916408583,4.0835914170145315e-05,
40,115.860879,100.285707,1.1553079941890423,-0.1553079941890423,-4.167770784219928e-07,1.52845030116e-05,1.4867725933178009e-05,0.003855869024380627,-5.36709756193735e-05,-1.341776e-06,39.99995201834994,4.7981650062922654e-05,
45,117.792638,100.285707,1.174570549719513,-0.1745705497195129,-4.684691478408983e-07,1.52845030116e-05,1.4816033863759104e-05,0.003849160150443094,-6.037984955690632e-05,-1.341776e-06,44.99994750010905,5.249989094835428e-05,
50,119.721032,100.285707,1.1937995511164916,-0.1937995511164916,-5.200711729977632e-07,1.52845030116e-05,1.4764431838602239e-05,0.0038424512799256467,-6.708872007435375e-05,-1.341776e-06,49.99994043294391,5.956705609122537e-05,
55,121.646062,100.285707,1.212995008351489,-0.2129950083514891,-5.715831806516553e-07,1.52845030116e-05,1.4712919830948347e-05,0.0038357424093581087,-7.379759064189174e-05,-1.341776e-06,54.99993340311031,6.659688968824184e-05,
60,123.567729,100.285707,1.2321569313960163,-0.23215693139601634,-6.230051975616425e-07,1.52845030116e-05,1.466149781403836e-05,0.003829033535245984,-8.050646475401624e-05,-1.341776e-06,59.99992901498927,7.098501072988483e-05,
65,125.486031,100.285707,1.2512853003070517,-0.25128530030705165,-6.743371702095891e-07,1.52845030116e-05,1.4610165841390412e-05,0.003822324664571341,-8.721533542865954e-05,-1.341776e-06,64.9999220649792,7.793502079778136e-05,
70,127.400969,100.285707,1.270380125056106,-0.270380125056106,-7.255791253545633e-07,1.52845030116e-05,1.4558923886245438e-05,0.00381561579384579,-9.392420615421046e-05,-1.341776e-06,69.99991515290962,8.48470903775933e-05,
75,129.312544,100.285707,1.2894414156146898,-0.28944141561468983,-7.767310897556321e-07,1.52845030116e-05,1.450777192184437e-05,0.0038089069195563667,-0.00010063308044363367,-1.341776e-06,74.99991089692593,8.91030740746146e-05,
80,131.220754,100.285707,1.3084691520397818,-0.30846915203978176,-8.277930098946604e-07,1.52845030116e-05,1.445671000170534e-05,0.0038021980487219944,-0.00010734195127800597,-1.341776e-06,79.99990406595883,9.59340411696985e-05,
85,133.1256,100.285707,1.3274633443028925,-0.3274633443028925,-8.787649125307157e-07,1.52845030116e-05,1.4405738099069286e-05,0.00379548917783588,-0.0001140508221641203,-1.341776e-06,84.99989727355408,0.00010272644591680091,
90,135.027082,100.285707,1.3464239924040222,-0.3464239924040222,-9.296467976637986e-07,1.52845030116e-05,1.4354856213936203e-05,0.0037887803068977492,-0.00012075969310225117,-1.341776e-06,89.99989051991626,0.00010948008373645735,
95,136.9252,100.285707,1.3653510963431708,-0.36535109634317076,-9.804386652939085e-07,1.52845030116e-05,1.4304064346306092e-05,0.0037820714359073247,-0.00012746856409267572,-1.341776e-06,94.99988380525194,0.00011619474805968366,
