,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Suhu,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,Thermometer Glass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Suhu_Thermometer Glass,2022-07-12T00:00:00,"- Creating All Sheets
",HN,,,,,,-,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-12T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Suhu_Thermometer Glass,2022-07-12T00:00:00,Adding value Uncert. of stability & inhomogenity ,HN,,NR,,,,"Update drift uncertainty, another budget uncertainty",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-13T00:00:00,Date:,2022-07-14T00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olah Data_Suhu_Thermometer Glass,2022-12-26T00:00:00,"-Adding Tabel Record Drift on ""Standar Kalibrator"" sheet
-Changing value uncertainty: Temp. Calibrator & Sensor on ""Perhitungan U95%"" sheet
-Adding ""Variasi Spasial & stab Oilbath"" sheet
-Adding budget variasi & stabilitas oilbath on ""Perhitungan U95%"" sheet",HN,,NR,,,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-12-26T00:00:00,Date:,2022-12-27T00:00:00,Date:,,,,,,,,,,,,,,
,4,Master Olah Data_Suhu_Thermometer Glass,2023-02-24T00:00:00,"-Adding TH 3~7 on ""Database"" sheet
-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Updating Victor recalibration 2023 and drift on ""Standar Kalibrator"" and ""STANDAR-VICTOR (REC-1)"" sheet 
-Adding calibrator status monitoring on ""Input Data"" sheets
-Updating standar kalibrator constant, thermocouple type N , K, PT100",HN,,,,,,"Menunggu CMC terbit di RL baru, untuk update CMC  sheet U95% dan database",,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-02-24T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
