PT. SIDIK,,,KALIBRASI THERMOMETER GLASS,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,:,0135-CAL-125,,,Data Choosen From Combobox,,,,,,,
,Thermometer type,,:,2,,,,,,,,,,Order Number,,:,2501.16.G,,,(DON'T ERASE),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Thermometer Glass,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,:,AJ,,,,
,Merk,,:,Alla France,,,,,,,,,,,,,,,,,,:,SIDIK-IK-CAL-0527_Rev.1,,,,
,Type,,:,Analog,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,:,Yokogawa,,,,
,No. Seri,,:,IND-140,,,,,,,,,,,,,,,,,,:,PRT PT100,,,,
,Rentang Ukur,,:,100,,oC,,,,,,,,,,,,,,,,:,DR,,,,
,Kapasitas Alat,,:,100,,oC,,,,,Tanggal Terima ,,,:,2025-01-31T00:00:00,,,,,Signed by,,:,Alex Misramto,,,,
,Resolusi Alat,,:,1,,oC,,,,,Tanggal Kalibrasi,,,:,2025-01-31T00:00:00,,,,,Position,,:,Technical Manager,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Inlab (Lab. Suhu PT SIDIK),,,,,Thermometer Type,,:,Total Immersion,,,,
,Suhu Ruangan,,:,24.3,24.5,,24.4,oC,,,Technician ID,,,:,7,,,,,Lookup status meter,,:,235.61241898148,,,,
,Kelembaban,,:,54,55,,54.5,%RH,,,Calibration Method,,,:,27,,,,,Lookup status sensor,,:,421.61241898148,,,,
,Thermohygro Used,,:,4,,,,,,,Standar Meter/Indikator,,,:,2,,,VALID,,Oilbath used,,:,dua,,,,
,,,,,,,,,,,Standar Sensor,,,:,3,,,VALID,,,,,,,,,
,,,,,,,,,,,Oilbath,,,:,2,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Pembacaan Standard,,,,,,,,,,,,1. Pre-Evaluation (UUT),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No. Thermocouple,,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,"Set Point
(oC)",,Ice Point (oC) - 30 menit,,,,,,,,,,,,,,
,,,[ALAMAT PELANGGAN DIREDAKSI],,[ALAMAT PELANGGAN DIREDAKSI],,[ALAMAT PELANGGAN DIREDAKSI],[ALAMAT PELANGGAN DIREDAKSI],,[ALAMAT PELANGGAN DIREDAKSI],,,X1,,X2,X3,,,,,,,,,,,
,17,,29.9,,30.3,,30.3,30.3,,30.3,30,,0,,0,0,,,,,,,,,,,
,17,,51.5,,51.6,,51.5,51.5,,51.5,50,,,,,,,,,,,,,,,,
,17,,61.7,,61.8,,61.7,61.7,,61.7,60,,Sensor yang dipakai PRT Pt 100,,,,,,,,,,,,,,
,17,,81.9,,81.8,,81.9,81.9,,81.9,80,,,,,,,,,,,,,,,,
,17,,99.2,,99.3,,99.3,99.3,,99.3,100,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Pembacaan UUT,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,,,
,,,[ALAMAT PELANGGAN DIREDAKSI],,[ALAMAT PELANGGAN DIREDAKSI],,[ALAMAT PELANGGAN DIREDAKSI],[ALAMAT PELANGGAN DIREDAKSI],,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,
,30,,30,,30,,30,30,,30,,,,,,,,,,,,,,,,,
,50,,51,,51,,51,51,,51,,,,,,,,,,,,,,,,,
,60,,61,,61,,61,61,,61,,,,,,,,,,,,,,,,,
,80,,82,,82,,82,82,,82,,,,,,,,,,,,,,,,,
,100,,99,,99,,99,99,,99,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2025-02-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,,
,Name,:,3,Name,:,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
