Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,:,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,:,Thermometer dalam cairan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,:,Standard used :,,,,,,,,,,,,,,,,,Alat Bantu :,,,,,,,,,,,,,,,,
,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,
,,,PRT Pt-100,,,,,-,,,,-,,,,SH1/20,,,,Oil Bath 1,,,,,-,,,,-,,,,SIDIK/079/2022,,,
,,,Temperature Calibrator,,,,,Constant,,,,40T,,,,99875850,,,,Oil Bath 2,,,,,-,,,,-,,,,SIDIK/080/2022,,,
,,,Temperature Calibrator,,,,,Yokogawa,,,,CA 150 Handy Cal,,,,23P1005,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Thermometer Glass,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,100,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca UUT,,,,,,,,:,1,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi STD,,,,,,,,:,0.1,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,STD Meter Kalibrator :,,Yokogawa,,STD Sensor :,,,,,PRT PT100,,,,,,,Max. Set Poin UUT,,,100,,oC,,,Oilbath Used,,,dua,,,,,,,,
,Components,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Baku Temperature Kalibrator,,,,Yokogawa,,, oC,,normal,,,,0.72,,2,,200,,0.36,,,1,,0.36,,,0.1296,,,,8.39808e-05,,,,
,Ketidakpastian Sensor/Termokopel,,,,PRT PT100,,, oC,,normal,,,,0.06,,2,,200,,0.03,,,1,,0.03,,,0.0009,,,,4.05e-09,,,,
,Resolusi standar,,,,Yokogawa,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,200,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,3.4722222222222234e-09,,,,
,Ketidakpastian Baku Drift Temp. Kalibrator,,,,Yokogawa,,, oC,,Rect.,,,0.072,,,1.7320508075688772,,50,,0.041569219381653054,,,1,,0.041569219381653054,,,0.001728,,,,5.971968e-08,,,,
,Ketidakpastian Baku Drift Sensor/Termokopel,,,,PRT PT100,,, oC,,Rect.,,,0.5017012417552564,,,1.7320508075688772,,50,,0.2896573469801668,,,1,,0.2896573469801668,,,0.08390137865958876,,,,0.00014078882681959392,,,,
,Resolusi Alat yang dikalibrasi,,,,,,, oC,,rect.,,,0.5,,,1.7320508075688772,,1000000,,0.2886751345948129,,,1,,0.2886751345948129,,,0.08333333333333336,,,,6.9444444444444484e-09,,,,
,Ketidakpastian Baku Pengulangan  Pembacaan UUT,,,,,,, oC,,T-Student,,,0,,,5,,4,,0,,,1,,0,,,0,,,,0,,,,
,Ketidakpastian Baku Pengulangan  Pembacaan Standar,,,,Yokogawa,,, oC,,T-Student,,,0.17888543819998412,,,5,,4,,0.035777087639996825,,,1,,0.035777087639996825,,,0.0012800000000000135,,,,4.096000000000087e-07,,,,
,Variasi Spasial dari bath,,,,,,, oC,,rect.,,,0.25,,,1.7320508075688772,,50,,0.14433756729740646,,,1,,0.14433756729740646,,,0.02083333333333334,,,,8.68055555555556e-06,,,,
,Koreksi suhu karena stabilitas dari ice Point,,,,,,, oC,,rect.,,,0,,,1.7320508075688772,,50,,0,,,1,,0,,,0,,,,0,,,,
,Stabilitas dari Bath,,,,,,, oC,,rect.,,,0.05,,,1.7320508075688772,,50,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,1.3888888888888894e-08,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32324271199292215,,,,0.00023394785761070503,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.5685443799677578,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,446.6202508697737,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9652886523871016,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.117353818329095,,,,,,, oC,
,CMC PT.SIDIK,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,, oC,
,"Ketidakpastian Bentangan Yang Dilaporkan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.117353818329095,,,,,,, oC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
