,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,0135-CAL-125,,,,,,,,,,,,,,,,,
,Page,,,:,1 of 1,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,
,,,,,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,
,Order Number,,,:,2501.16.G,,,,,,,,,,,,,,,,,
,Received Date,,,:,2025-01-31T00:00:00,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Thermometer Glass,,,,,Calibration Location,,,:,Inlab (Lab. Suhu PT SIDIK),,,,,,,,
,Manufacturer,,,:,Alla France,,,,,Calibration  Date,,,:,2025-01-31T00:00:00,,,,,,,,
,Model/Type,,,:,Analog,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0527_Rev.1,,,,,,,,
,Serial Number,,,:,IND-140,,,,,Env. Condition,,,:,T ,23.58,oC,±,1.7117242768623688,oC,,,
,Capacity/Graduation,,,:,100,oC,/,1,oC,,,,,%RH,53.67,%,±,5.000999900019996,%,,,
,Technician ID,,,:,AJ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Tipe Thermometer Glass :,,,,,Total Immersion,,,,,,,,,,,,,
,,,,Standard Reading (oC),,,,,Unit Under Test (oC),,Correction (oC),,,,,,,,,,,
,,,,30.54502900705911,,,,,30,,0.5450290070591102,,,,,,,,,,,
,,,,51.87005956705609,,,,,51,,0.8700595670560887,,,,,,,,,,,
,,,,62.07005956705608,,,,,61,,1.0700595670560773,,,,,,,,,,,
,,,,82.28012287023108,,,,,82,,0.2801228702310823,,,,,,,,,,,
,,,,99.68012287023109,,,,,99,,0.680122870231088,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Uncertainty  95%  ±,,,,,,,1.117353818329095,,oC,,,,,,,,,
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,1.9652886523871016,,,,,,,,
,,,,,,,,,,,,,,,,,,,#REF!,,,
,,,,    - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type,,,Serial Number,,,,,Traceable to SI through,,,,,,
,Temperature Calibrator,,,,,,,Yokogawa,,,23P1005,,,,,LK-285-IDN,,,,,,
,PRT PT100,,,,,,,-/PT100,,,SH1/20,,,,,SNSU-BSN,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,
,2025-02-01T00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
