Stabilitas Climatic Chamber ,,,,,,,,,,,,,,,,,
Owner :,PT. Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,
TGL Tes :,2021-04-15T00:00:00,,,,,,,,,,,,,,,,
PIC :,AW,,,,,,,,,,,,,,,,
Standard:,Thermohygro Standard (201701023483),,,,,,,,,,,,,,,,
Merk:,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Table Stabilitas Suhu,,,Set Point,25,0C,,,,,,,,,,,,
Suhu 0C,,,,,,,,Min,Max,,,,,,,,
"0""","10""","20""","30""","40""","50""","60""",,24.8,25.3,,,,,,,,
24.8,24.9,25,25.2,25.3,25.2,25,,0.25,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Table Stabilitas Kelembaban,,,Set Point,25,%RH,,,,,,,,,,,,
Kelembaban %RH,,,,,,,,Min,Max,,,,,,,,
"0""","10""","20""","30""","40""","50""","60""",,47,50,,,,,,,,
47,48,50,47,49,47,48,,1.5,,,,,,,,,
,,,,,,,,,,,,,,,,,
STD,TC Type K,,Temp.recorder,,,,,,,,,,,,,,
Table homogenitas Suhu,,,Set Point,25,0C,,,,,,,,,,,,
Posisi,Pembacaan Suhu 0C,,,,,,,,,,,,,,,,
1,26.19,,,,,,,,,,,,,,,,
2,25.7,,,,,,,,,26.89,26.88,27.28,26.63,26.75,,,
STD,25.02,,,,,,max UUT,26.19,,,,,,,,,
selisih,,,,,,,,,,,,,,,,,
1,1.1700000000000017,,,,,,,,,,,,,,,,
2,0.6799999999999997,,,,,,,,,,,,,,,,
,,,,,max,1.1700000000000017,,,,,,,,,,,
,,,,,U,0.5850000000000009,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
STD,,,,,,,,,,,,,,,,,
Table homogenitas %RH,,,Set Point,25,0C,,,,,,,,,,,,
Posisi,Pembacaan Suhu 0C,,,,,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,max
1,34,,,,,,34,34,34,35,34,34,33,34,34,33,35
2,31,,,,,,31,31,32,33,32,33,33,33,33,33,33
STD,34.46,,,,,,34.46,34.25,34.68,34.83,34.14,34.52,34.82,34.26,34.35,34.55,34.83
selisih,,,,,,,0.46000000000000085,0.25,0.6799999999999997,0.1700000000000017,0.14000000000000057,0.5200000000000031,1.8200000000000003,0.259999999999998,0.3500000000000014,1.5499999999999972,1.8200000000000003
1,0.46000000000000085,,,,,,3.460000000000001,3.25,2.6799999999999997,1.8299999999999983,2.1400000000000006,1.5200000000000031,1.8200000000000003,1.259999999999998,1.3500000000000014,1.5499999999999972,3.460000000000001
2,3.460000000000001,,,,,,,,,,,,,,,,
,,,,,max,3.460000000000001,,,,,,,,,,,
,,,,,U,1.7300000000000004,,,,,,,,,,,
