,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Suhu dan Kelembapan,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,Termohygro,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data Suhu & Kelembapan,2022-04-07T00:00:00,- Creating All Sheets,HN,,NR,,,,"Revisi Nilai kolom UUT di ""sertifikat"" sheet, ambil rata-rata pembacaan UUT bukan dari set poin alat",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-04-07T00:00:00,Date:,2022-08-04T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data Suhu & Kelembapan,2022-08-04T00:00:00,"-Revisi nilai UUT di ""sertifikat"" sheet, mengambil dari nilai rata-rata perhitungan FC",HN,,NR,,,,"Update IK order number based on DID on database, adding TH-3 s/d 7,
update PT100",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-08-04T00:00:00,Date:,2022-08-04T00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olah Data Suhu & Kelembapan,2022-10-25T00:00:00,"-Updating ""Database"" sheet: IK order number based on DID, adding TH-3 s/d 7
-Updating TH calculation on ""Perhitungan FC"" sheet.",HN,,NR,,,,Update drift standar kalibrator,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-10-25T00:00:00,Date:,2022-10-26T00:00:00,Date:,,,,,,,,,,,,,,
,4,Master Olah Data Suhu & Kelembapan,2022-12-22T00:00:00,"-Updating drift standar calibrator uncertainty on ""Perhitungan U95%"" sheet.",HN,,NR,,,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-12-22T00:00:00,Date:,2022-12-23T00:00:00,Date:,,,,,,,,,,,,,,
