PT. SIDIK,,,"KALIBRASI TEMPERATUR & KELEMBAPAN
(THERMOHYGRO)",,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Certificate Number,,:,0312-CAL-624,,,Data Choosen From Combobox,,,,,,
,,,,,,,,,,,,,,,,,Order Number,,:,2406.25.AR,,,(DON'T ERASE),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Thermohygrometer,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,Technician ID,,:,DR,,,
,Merk,,:,NOKLEAD,,,,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0518_Rev.4,,,
,Type,,:,NK5253,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,Standar Meter/Indikator,,:,Temperature Humidity Meter,,,
,No. Seri,,:,TR-001,,,,,,,,,,,,,,,,,,,Calculated by,,:,DR,,,
,Rentang Ukur Suhu,,:,15-50,,oC,,,,,,,,,,,,,,,,,Signed by,,:,Alex Misramto,,,
,Kapasitas Suhu,,:,-10 - 60,,oC,,,,,Tanggal Terima ,,,:,2024-07-01T00:00:00,,,,,,,,Position,,:,Technical Manager,,,
,Resolusi Suhu,,:,0.1,,oC,,,,,Tanggal Kalibrasi,,,:,2024-07-02T00:00:00,,,,,,,,Thermohygro,,:,TH-4,,,
,Rentang Ukur Humi.,,:,30-90,,%RH,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Humi.,,:,10 - 95,,%RH,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi Humi.,,:,1,,%RH,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Inlab (Lab. Suhu PT SIDIK),,,,,,,,,,,,,,
,Suhu Ruangan,,:,25.6,25.5,,25.55,oC,,,Technician ID,,,:,5,,,,,,,,,,,,,,
,Kelembaban,,:,53,54,,53.5,%RH,,,Calibration Method,,,:,18,,,,,,,,,,,,,,
,Thermohygro Used,,:,4,,,,,,,Standar Used,,,:,1,,,,,,VALID,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KALIBRASI SUHU (TEMPERATURE),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[CHAMBER BIOBASE],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Poin
(oC)",,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,Lingkup Suhu: 15 ~ 50 oC,,,,,,,,,,,,,,,,
,,,X1,,X2,,X3,X4,,X5,,,,,,,,,,,,,,,,,,,
,15,,14.96,,14.95,,14.99,14.95,,14.97,,,,,,,,,,,,,,,,,,,
,25,,24.86,,24.85,,24.88,24.85,,24.87,,,,,,,,,,,,,,,,,,,
,35,,34.94,,34.96,,34.93,34.96,,34.92,,,,,,,,,,,,,,,,,,,
,45,,44.83,,44.85,,44.81,44.85,,44.82,,,,,,,,,,,,,,,,,,,
,50,,54.91,,54.95,,54.99,54.94,,54.97,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan UUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,X1,,X2,,X3,X4,,X5,,,,,,,,,,,,,,,,,,,
,15,,14.2,,14.2,,14.3,14.5,,14.6,,,,,,,,,,,,,,,,,,,
,25,,24.2,,24.2,,24.5,24.5,,24.6,,,,,,,,,,,,,,,,,,,
,35,,34.6,,34.6,,34.3,34.5,,34.7,,,,,,,,,,,,,,,,,,,
,45,,44.5,,44.5,,44.3,44.5,,44.6,,,,,,,,,,,,,,,,,,,
,50,,54.6,,54.6,,54.3,54.5,,54.6,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KALIBRASI KELEMBAPAN (HUMIDITY),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan Standard ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[CHAMBER BIOBASE],,,Lingkup RH: 50 ~90 %RH,,,,,,,,[CHAMBER GEA],,,Lingkup RH: 30 ~49 %RH,,,,,,,,,,,,,,
,"Set Poin
(%RH)",,Data Hasil Pengukuran/Pengulangan (%RH),,,,,,,,,"Set Poin
(%RH)",,,Data Hasil Pengukuran/Pengulangan (%RH),,,,,,,,,,,,,,
,,,X1,,X2,,X3,X4,,X5,,,,,X1,X2,X3,X4,X5,,,,,,,,,,
