,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Thermohygrometer,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merk,,:,NOKLEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,NK5253,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,TR-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur Suhu,,:,15-50,,oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Suhu,,:,-10 - 60,,oC,,,,,Tanggal Terima ,,,:,2024-07-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi Suhu,,:,0.1,,oC,,,,,Tanggal Kalibrasi,,,:,2024-07-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur Humi.,,:,30-90,,%RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Humi.,,:,10 - 95,,%RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi Humi.,,:,1,,%RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Avg,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,25.6,25.5,25.55,29.14,-0.82,oC,,0.10000000000000142,-0.82,1.7,±,1.70293863659264,oC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kelembaban,,:,53,54,53.5,47.1,-2.5,%RH,,1,-2.5,4.8,±,4.903060268852505,%RH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KALIBRASI SUHU (TEMPERATURE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[CHAMBER BIOBASE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Poin
(oC)",,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,Average,STDEV,STDEV Max.,,Index,"Faktor Koreksi Std.
(FC)",Std. Terkoreksi,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,X1,,X2,,X3,X4,,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,14.96,,14.95,,14.99,14.95,,14.97,14.963999999999999,0.016733200530681898,0.030331501776208015,,15,0.81,15.774,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,24.86,,24.85,,24.88,24.85,,24.87,24.862000000000002,0.013038404810404474,,,25,0.74,25.602,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,34.94,,34.96,,34.93,34.96,,34.92,34.94200000000001,0.017888543819998333,,,35,0.7,35.64200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,44.83,,44.85,,44.81,44.85,,44.82,44.832,0.017888543819998333,,,45,0.52,45.352000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,54.91,,54.95,,54.99,54.94,,54.97,54.952,0.030331501776208015,,,50,1.2,56.152,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan UUT,,,,,,,,,,,,,Max.,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,Average,STDEV,STDEV Max.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,X1,,X2,,X3,X4,,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,14.2,,14.2,,14.3,14.5,,14.6,14.36,0.18165902124584965,0.18708286933869783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,24.2,,24.2,,24.5,24.5,,24.6,24.4,0.18708286933869783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,34.6,,34.6,,34.3,34.5,,34.7,34.54,0.15165750888103316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,44.5,,44.5,,44.3,44.5,,44.6,44.480000000000004,0.10954451150103478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,54.6,,54.6,,54.3,54.5,,54.6,54.52,0.13038404810405482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KALIBRASI KELEMBAPAN (HUMIDITY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[CHAMBER BIOBASE],,,,,,,,,,,,,,,,,,,[CHAMBER GEA],,,,,,,,,,,,,,,,,,,,,,,
,"Set Poin
(%RH)",,Data Hasil Pengukuran/Pengulangan (%RH),,,,,,,,Average,STDEV,STDEV Max.,,Index,"Faktor Koreksi Std.
(FC)",Std. Terkoreksi,,,"Set Poin
(%RH)",,Data Hasil Pengukuran/Pengulangan (%RH),,,,,Average,STDEV,STDEV Max.,,Index,"Faktor Koreksi Std.
(FC)",Std. Terkoreksi,,,,,,,,,,
,,,X1,,X2,,X3,X4,,X5,,,,,,,,,,,,X1,X2,X3,X4,X5,,,,,,,,,,,,,,,,,
,50,,49.4,,49.5,,49.42,49.43,,49.4,49.43,0.04123105625617702,0.04123105625617702,,50,-0.6,48.83,,,30,,29.49,29.45,29.32,29.41,29.46,29.426,0.06580273550544795,0.06580273550544935,,30,0.5,29.926,,,,,,,,,,
,70,,69.4,,69.5,,69.42,69.43,,69.4,69.42999999999999,0.04123105625617444,,,70,0.4,69.83,,,49,,48.49,48.45,48.32,48.41,48.46,48.426,0.06580273550544935,,,50,-0.6,47.826,,,,,,,,,,
,90,,89.4,,89.5,,89.42,89.43,,89.4,89.42999999999999,0.04123105625617444,,,90,-0.9,88.52999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan UUT,,,,,,,,,,,,,Max.,90,,,,,Pembacaan UUT,,,,,,,,,,Max.,50,,,,,,,,,,,,
,"Set Poin
(%RH)",,Data Hasil Pengukuran/Pengulangan (%RH),,,,,,,,Average,STDEV,STDEV Max.,,,,,,,"Set Poin
(%RH)",,Data Hasil Pengukuran/Pengulangan (%RH),,,,,Average,STDEV,STDEV Max.,,,,,,,,,,,,,,
,,,X1,,X2,,X3,X4,,X5,,,,,,,,,,,,X1,X2,X3,X4,X5,,,,,,,,,,,,,,,,,
,50,,49,,49,,49,49,,49,49,0,0,,,,,,,30,,29,29,29,29,29,29,0,0,,,,,,,,,,,,,,
,70,,69,,69,,69,69,,69,69,0,,,,,,,,49,,48,48,48,48,48,48,0,,,,,,,,,,,,,,,
,90,,89,,89,,89,89,,89,89,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
