Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,:,°C & %RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,:,Thermohygrometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,:,Standard used :,,,,,,,,,,,,,,,,,Alat Bantu :,,,,,,,,,,,,,,,
,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,
,,,Temperature Humidity Meter,,,,,-,,,,-,,,,201701023483,,,,Climatic Chamber,,,,,Biobase,,,,BJPX-HT150BII,,,,BJPXII150230800013B ,,
,,,,,,,,,,,,,,,,,,,,Climatic Chamber,,,,,GEA+Autonic,,,,,,,,,,
Model matematis pengukuran,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIOBASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN U95% SUHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Thermohygrometer,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,15-50,,,,,,,,,,,,oC,,,,,,,,,,,,,
,Ketelitian Baca UUT,,,,,,,,:,0.1,,,,,,,,,,,,oC,,,,,,,,,,,,,
,Componen,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
,Ketidakpastian Baku Temperature Calibrator,,,,,,, oC,,normal,,,1.3,,,2,,200,,0.65,,,1,,0.65,,,0.42250000000000004,,,,0.0008925312500000002,,,
,Readability,,,,,,, oC,,rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,
