,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,0312-CAL-624,,,,,,,,,,,,,,,,,,,,,
,Page,,,:,1 of 1,,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Order Number,,,:,2406.25.AR,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,
,Received Date,,,:,2024-07-01T00:00:00,,,,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Thermohygrometer,,,,,,Calibration Location,,,:,Inlab (Lab. Suhu PT SIDIK),,,,,,,,,,,
,Manufacturer,,,:,NOKLEAD,,,,,,Calibration  Date,,,:,2024-07-02T00:00:00,,,,,,,,,,,
,Model/Type,,,:,NK5253,,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0518_Rev.4,,,,,,,,,,,
,Serial Number,,,:,TR-001,,,,,,Environmental Condition,,,:,T,24.73,,oC,±,1.70293863659264,oC,,,,,
,Capacity/Graduation,,,:,-10 - 60,oC,/,0.1,oC,,,,,,%RH,51,,%,±,4.903060268852505,%,,,,,
,,,,,10 - 95,%RH,/,1,%RH,,,,,,,,,,,,,,,,,
,Technician ID,,,:,DR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,,,,
,,,,1. Temperature ,,,,,,,,,,,,,,,,,,,,,,
,,,,Standard Reading,,,,,,Unit Under Test,,,Correction,,,,,,,Uncertainty  95%  ±,,,,,,
,,,,(oC),,,,,,(oC),,,(oC),,,,,,,,,,,,,
,,,,15.774,,,,,,14.36,,,1.4139999999999997,,,,,,,1.978824776442884,,,,,,
,,,,25.602,,,,,,24.4,,,1.2020000000000017,,,,,,,,,,,,,
,,,,35.64200000000001,,,,,,34.54,,,1.102000000000011,,,,,,,,,,,,,
,,,,45.352000000000004,,,,,,44.480000000000004,,,0.8719999999999999,,,,,,,,,,,,,
,,,,56.152,,,,,,54.52,,,1.631999999999998,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Uncertainty  95%  ±,,,,,,,,1.978824776442884,oC,,,,,,,,,,,,,
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,,,,,,1.962041624579668,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2. Humidity,,,,,,,,,,,,,,,,,,,,,,
,,,,Standard Reading,,,,,,Unit Under Test,,,Correction,,,,,,,Uncertainty  95%  ±,,,,,,
,,,,(%RH),,,,,,(%RH),,,(%RH),,,,,,,,,,,,,
,,,,29.926,,,,,,29,,,0.9259999999999984,,,,,,,4.8,,,,,,"C
H
A
M
B
E
R

G
E
A"
,,,,47.826,,,,,,48,,,-0.1739999999999995,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.83,,,,,,49,,,-0.1700000000000017,,,,,,,4.8,,,,,,"C
H
A
M
B
E
R

B
I
O
B
A
S
E"
,,,,69.83,,,,,,69,,,0.8299999999999983,,,,,,,,,,,,,
,,,,88.52999999999999,,,,,,89,,,-0.4700000000000131,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Uncertainty  95%  ±,,,,,,,,#REF!,%RH,,,,,,,,,,,,,
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,,,,,,1.9624935691904668,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,    - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type,,,Serial Number,,,,,Traceable to SI through,,,,,,,,,,
,Temperature Humidity Meter,,,,,,,-,,,201701023483,,,,,LK-361-IDN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date :,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-07-04T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,
,IPD Wiska Susetio,,,,,,,,,,,,,,,,,,,,,,,,,
,Head of Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
