Standard Kalibrator,,,,,,Drift Kalibrator,,,
,,,,,,,,,
Temperature Humidity Meter,,,Kelembapan,%RH,,0C,,%RH,
Merk/Type,:,-,Titik Kalibrasi (%RH),Correction,,0.615,,0.635,
Serial Number,:,201701023483,,%RH,,Sumber,,,
Calibration Date,:,2026-01-09T00:00:00,20,0.3,,\\192.168.100.70\sidcal\SIDIK\7.5 Rekaman Teknis\01. MASTER OLAH DATA\Record Drift\1. Drift kalibrator temp baru 04 juni 2024,,,
Due Date of Calibration,:,2027-01-09T00:00:00,25,0.3,,,,,
Traceability,:,LK-361-IDN,30,0.5,,,,,
,,,40,0.3,,,,,
,,,50,-0.6,,,,,
,,,60,-0.3,,,,,
,,,70,0.4,,,,,
,,,80,-0.2,,,,,
,,,90,-0.9,,,,,
,,,U95%,3,,,,,
,,,,,,,,,
,,,Temperature,oC,,,,,
,,,Titik Kalibrasi (oC),Correction,,,,,
,,,,0C,,,,,
,,,15,0.81,,,,,
,,,20,0.84,,,,,
,,,25,0.74,,,,,
,,,30,0.75,,,,,
,,,35,0.7,,,,,
,,,45,0.52,,,,,
,,,50,1.2,,,,,
,,,U95%,1.3,,,,,
