Nama alat,Climatic Chamber,,,,,,
Merk,Biobase,,,,,,
Tipe ,BJPX-HT150B11,,,,,,
SN,TH-24-PRFR-01,,,,,,
Tgl Kal.,03 mei 2024,,,,,,
Tertelusur,LK-375-IDN,,,,,,
,,,,,,,
Temperature (˚C),,,,Humidity (%RH),,,
Setting Suhu (˚C),Keseragaman (˚C),Kestabilan (˚C),,Setting Suhu (%RH),Keseragaman (%RH),Kestabilan (%RH),
15,0.3,0.1,,50,1,0.4,
23,0.3,0.1,,70,1.4,0.5,
30,0.5,0.1,,90,1.8,0.6,
45,0.3,0.1,,max,1.8,0.6,
max,0.5,0.1,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Nama alat,Climatic Chamber,,,,,,
Merk,Gea,,,,,,
Tipe ,Expo-50TH4,,,,,,
SN,202001,,,,,,
Tgl Kal.,03 mei 2024,,,,,,
Tertelusur,LK-375-IDN,,,,,,
,,,,,,,
Temperature (˚C),,,,Humidity (%RH),,,
Setting Suhu (˚C),Keseragaman (˚C),Kestabilan (˚C),,Setting Suhu (%RH),Keseragaman (%RH),Kestabilan (%RH),
15,0.1,0.1,,30,0.6,0.1,
23,0.2,0.1,,50,0.8,0.2,
30,0.3,0.1,,,,,
45,0.3,0.1,,max,0.8,0.2,
max,0.3,0.1,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
