ref,nama,alamat,kota,provinsi
idn-1,Sumber Jaya Teknik Karawang,"Jl. Wirasabar No. 6, Telukjambe, Karawang, Kabupaten Karawang, Jawa Barat",Kabupaten Karawang,Jawa Barat
idn-2,PT. Mitra Perkasa Cemerlang,"JL. Karanggan Muda No. 41, RT. 04, RW. 05, Kel. Karanggan, Kec. Gunung Putri, 16960, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-3,PT. Dwi Filter Jaya,"Kawasan Industri Jababeka Blok EE/ 2G Jl. Industri Selatan IV, Cikarang Selatan, Bekasi, Jawa Barat 17530, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-4,CV. Mega Jaya Teknik,"JL. Bakalan Indah RT. 02, RW. 02, Kel. Tegalrejo, Kec. Ceper, Kabupaten Klaten, Jawa Tengah",Kabupaten Klaten,Jawa Tengah
idn-5,PT. Pandawa Amerta Packindo,"Jl. Indronoto Area Sawah KM 1, RT 003/RW 003, Ngabeyan, Kartasura, Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah",Kabupaten Sukoharjo,Jawa Tengah
idn-6,PT. Sing Foo Cosmetic,"Greenland International Industrial Center (G.I.I.C) Block AA No. 26 Kota, Deltamas Desa, Sukamahi, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17530, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-7,CV. Parama Berdikari Logam,"JL. Bakalan Indah RT. 02, RW. 02, Ceper, 57465, Kabupaten Klaten, Jawa Tengah",Kabupaten Klaten,Jawa Tengah
idn-8,Selatan Jaya Plastik Surabaya,"jalan Songoyudan 31b, surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-9,CV. Pramana Dwi Jaya,"JL. Raya Bungkal Gg. Sumur No. 50-C, RT. 05, RW. 03, Sambikerep, 60217, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-10,CV. Cipta Indo Teknik,"Jl. Manukan Bhakti IV No. 1 Tandes, 60185, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-11,CV. Kilau Aura Sejahtera,"Perum Gramapuri Tamansari Blok B8 No. 15 RT. 002/036, Wanasari, Cibitung, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-12,PT. Filwerd Indonesia Solusindo,"Jl. Taman Kopo Katapang Blok C1-60 Kecamatan Katapang, Kabupaten Bandung 40971, Kabupaten Bandung, Jawa Barat",Kabupaten Bandung,Jawa Barat
idn-13,PT. Bio Watter Persada,"Green Pare Residence No. 5 Blok N-08, Dsn. Puringan, Ds. Krenceng, Kec. Kepung, Kabupaten Kediri, Jawa Timur",Kabupaten Kediri,Jawa Timur
idn-14,CV. Karya Putra Jadi,"Ruko Golden Palace Blok D No. 18, JL. HR Muhammad 373-383, Kel. Pradahkalikendal, Kec. Dukuhpakis, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-15,PT. Siegenindo Putra Perkasa,"Jl. Raya Legundi No.659, Dusun Larangan, Krikilan, Kec. Driyorejo, Kabupaten Gresik, Jawa Timur 61177, Kabupaten Gresik, Jawa Timur",Kabupaten Gresik,Jawa Timur
idn-16,CV. Aneka Steel Teknik,"Jl. Randegan Sari No. 22 Mojo Kopek, Mulung, Driyorejo, 61115, Kabupaten Gresik, Jawa Timur",Kabupaten Gresik,Jawa Timur
idn-17,PT. Satona,"Jemur Andayani 50A / 99-100, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-18,PT. Cakrabuana Langgeng Sukses,"Raya Narogong - Kelapanunggal KM 26 No. 61 Bogor, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-19,CV. Citra Perkasa,"Jl. Kalibaru No.6 RT02/01 Tridayasakti, Tambun Selatan, Kabupaten Bekasi, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-20,CV. Basma Media Kreasi,"Office: 📍 Jl. Kalijaten Selatan No. 18, RT. 22, RW. 03, Taman, 61257, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-21,PT. Garsindo Utama Tractors,"Kawasan Pergudangan dan Industri SiRIE, JL. Lingkar Timur Blok Q-72, Rangkah Kidul, 60231, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-22,PT. Surya Agro Mandiri,"Jl. Raya Legok No. 109 Jatimekar, Jatiasih, Pondok Gede, 17422, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-23,PT. Sumber Bahagia Sejahtera Abadi,"Jl. Raya Darmo No.131, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-24,PT. ANUGRAH PUTRA KENCANA,"Pergudangan Segitigamas Pintu 6 UKM center Jl. Samsung IIc Blok C3i, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-25,PT. Naraya Cahaya Mentari,"Spazio Building Unit 720A, JL. Mayjend. Jonosewojo No. 2 Kav. 3, Kel. Pradahkalikendal, Kec. Dukuhpakis, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-26,PT. Pusat Andalan Cipta Kemasan,"JL. Mawar No. 52, Kel. Tegalsari, Kec. Tegalsari, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-27,PT. Udara Jadi Bersih,"JL. Industri Cikarang, Komplek Kawasan Sarana Terpadu, Pasir Gombong, Cikarang Utara, 17530, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-28,PT. Dikatama Putra Perkasa,"JL. H. Abdul Ghani I No. 24, RT. 03, RW. 02, Kel. Kalibaru, Kec. Cilodong, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
idn-29,PT. Indomitra Prima Lestari,"Pergudangan Commpark Kota Wisata Blok B - 05 Jl. Canadian Broadway, Limusnunggal - Cileungsi, Bogor - Jawa Barat, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-30,PT. Citra Menara Mas,"Jl. Paseh-Kamojang No.KM, RW.2, Cibeet, Kec. Majalaya, Kabupaten Bandung, Jawa Barat 40384, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-31,PT. Catur Jaya Anugerah,"JL. Putra Bangsa Anggaswangi, Sukodono, 61258, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-32,PT. Hastin Multi Teknik,"Jl. Pesona Ontario BLok UG 5 No. 15 RT.02 RW.019 Kota Wisata, Desa Limus Nunggal, Kecamatan Cileungsi, kab Bogor - Jawa Barat, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-33,CV. Zulindo Jaya Mandiri,"JL. Condrokusumo Raya No. 21-D, Kel. Bongsari, Kec. Semarang Barat, 50148, Kota Semarang, Jawa Tengah",Kota Semarang,Jawa Tengah
idn-34,PT. Jatika Nusa,"Jl. Holis No. 402 Caringin Bandung Kulon Kota Bandung, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-35,PT. Denko Wahana Sakti,"Kawasan Industri De Prima Terra, Jl. Raya Sapan, RT.01/RW.01 Blok E2/11, Tegalluar, Bojongsoang, Bandung Regency, Jawa Barat Kota Bandung Jawa Barat, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-36,Pusat Besi Surabaya,"Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-37,PT. Hand Lift Indonesia Surabaya,"Jl. Gotong Royong Kp. Kalurahan Kelurahan Pabuaran Kecamatan Gunung Sindur, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-38,Hi Steel,"Jl. Wibawa Mukti No. 69, Jatiasih, Bekasi, Jawa Barat, Indonesia, 17146, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-39,PT. Hand Lift Indonesia,"Jl. Gotong Royong No. 39 KP. Kalurahan RT. 004/004, Pabuaran Gunung Sindur, Kab. Bogor, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-40,CV. Dua Putra Petir,"Office: , , 📍 Bukit Palma Blok C5 No. 33 Citraland Utara Kec. Pakal, 60197, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-41,CV. Dua Putra Petir,"Bukit Palma Blok C5 No. 33 Citraland Utara Kec. Pakal, 60197 Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-42,CV. Dua Putra Petir,"Bukit Palma Blok C5 No. 33 Citraland Utara Kec. Pakal, 60197, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-43,PT. Zahra Inti Retsuna,"Ruko Pasar modern unit R.01 , Jalan Boulevard Harapan Indah , Tarumajaya , Kabupaten Bekasi 17214, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-44,PT. Berkah Buana Putra,"Jl. Boulevard Raya Ruko, Jl. Coco Garden No. 19 Blok RA2, Klapanunggal, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-45,PT. Sanshui Water Asia,"Komplek Perkantoran Kemang Permai Blok B No 1 Jalan Raya Siliwangi Km 0,5 Rawa Panjang- Sepanjang jaya Kota Bekasi- Jawa Barat 17114. , , Warehouse-Gunung Putri, Kabupaten Bogor (Jl. Riverside Golf Club, Kampung Cikuda No. 60, Bojong Nangka-Gunung Putri), Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-46,CV. Maju Jaya,"Kantor Pusat : 📍 Jl. Kaliagung 1 Blok F-17 (Komplek Kaliagung Megah), Nyamplungan, Pabean Cantikan - 60162, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-47,JN Chemical,"Jl. Sumpah Pemuda No. 142, Mojosongo, Surakarta, Kota Surakarta, Jawa Tengah",Kota Surakarta,Jawa Tengah
