ref,nama,alamat,kota,provinsi
jbk-1,PT. Ades Alfindo Putrasetia,"Jl. Jababeka XIV Blok J 4 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-2,PT. Adian Cempaka Raayyanti,"Jl. Industri Selatan 2 Blok MM 15, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-3,PT. AE Autmtion Indonesia,"Jl. Jababeka XIV Blok J 5 P, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-4,PT. Aerosolindo Indah,"Jl. Jababeka IID Blok C 18 T, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-5,PT. Ahara Prima Desigen,"Jl. Jababeka XII Blok V2, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-6,PT. Air Liquide Indonesia,"Jl. Industri Selatan Blok PP 1, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-7,PT. aneka Gas Industri,"Jl. Industri Selatan 4 Blok PP 4 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-8,PT. Anjungan Parma,"Jl. Jababeka III Blok C 18 L, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-9,PT. Anser Raya Insonesia,"Jl. Jababeka Raya Blok F 34, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-10,PT. Anugrah Yonaseprima,"Jl. Jababeka Blok C 18, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-11,PT. Arlene Jayamandiri,"Jl. Jababeka IIG Blok C16 V, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
